id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-15T17:50:20.983Z, 75
1, -22.924776, -43.179428, 2020-03-15T17:51:31.037Z, 166
2, -22.925875, -43.179329, 2020-03-15T17:52:06.088Z, 113
3, -22.928761, -43.179279, 2020-03-15T17:53:16.177Z, 87
4, -22.930351, -43.178955, 2020-03-15T17:54:26.242Z, 130
5, -22.930725, -43.179085, 2020-03-15T17:55:01.278Z, 121
6, -22.931084, -43.179314, 2020-03-15T17:56:10.352Z, 134
7, -22.931461, -43.179459, 2020-03-15T17:57:21.445Z, 136
8, -22.932478, -43.182209, 2020-03-15T17:58:31.521Z, 124
9, -22.932751, -43.183285, 2020-03-15T17:59:06.591Z, 134
10, -22.93276, -43.183285, 2020-03-15T17:59:40.622Z, 134
